lat;lon;status;closed;name;addr;town;county;postcode;prev;img;url;gsv
51.2997795659;-0.4587543038;gone;2007;Hautboy Inn;Ockham Lane;Ockham;Surrey;GU23 6NP;;http://www.closedpubs.co.uk/surrey/pics/ockham_hautboy.jpg;https://whatpub.com/pubs/SHB/293/hautboy-inn-ockham|http://www.closedpubs.co.uk/surrey/ockham_hautboyinn.html;https://www.google.co.uk/maps/@51.299585,-0.458651,3a,75y,316.62h,92.62t/data=!3m6!1e1!3m4!1soXazB-oNH-iSw_5D6B-ZEA!2e0!7i13312!8i6656
;;;;;;;;;;;;
;;;;;;;;;;;;
51.3045270193;-0.439136627;open;;Black Swan;Old Lane;Martyrs Green;Surrey;KT11 1NG;;https://whatpub.com/img/KIN/6913/black-swan-martyrs-green/298/224/22184;https://whatpub.com/pubs/KIN/6913/black-swan-martyrs-green;https://www.google.co.uk/maps/@51.3043725,-0.4395486,3a,49.5y,59.81h,98.11t/data=!3m7!1e1!3m5!1shNaimCnjYqTheyzOOefqzg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DhNaimCnjYqTheyzOOefqzg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D119.385956%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
51.3167950085;-0.3625971106;open;;Woodlands Park Hotel;Woodlands Lane;Stoke D'Abernon;Surrey;KT11 3QB;;https://whatpub.com/img/KIN/7124/woodlands-park-hotel-stoke-dabernon/298/224/42536;https://whatpub.com/pubs/KIN/7124/woodlands-park-hotel-stoke-dabernon;https://www.google.co.uk/maps/@51.3171709,-0.3633404,3a,57.3y,146.45h,95.89t/data=!3m6!1e1!3m4!1srZIFRU3Q2-CuU1MxmNGnHw!2e0!7i13312!8i6656
51.3208048238;-0.3864593817;open;;Old Plough;2 Station Road;Stoke D'Abernon;;KT11 3BN;;https://whatpub.com/img/KIN/7038/old-plough-stoke-dabernon/298/224/42535;https://whatpub.com/pubs/KIN/7038/old-plough-stoke-dabernon;https://www.google.co.uk/maps/@51.3206335,-0.3864253,3a,50.1y,361.29h,89.14t/data=!3m6!1e1!3m4!1sTXaJCsJYJY5DatPLsgb-uA!2e0!7i13312!8i6656
51.3119834362;-0.4108393206;open;;Cricketers;Downside Common, Downside Road;Downside;Surrey;KT11 3NX;;https://whatpub.com/img/KIN/6943/cricketers-downside/298/224/22182;https://whatpub.com/pubs/KIN/6943/cricketers-downside;
51.3217007821;-0.4125304534;open;;Plough;Plough Lane;Downside;Surrey;KT11 3LT;;https://whatpub.com/img/KIN/7050/plough-downside/298/224/22183;https://whatpub.com/pubs/KIN/7050/plough-downside;https://www.google.co.uk/maps/@51.3218979,-0.4122748,3a,49.2y,220.97h,95.48t/data=!3m6!1e1!3m4!1sx81d0EywBWV9No6AvHWEiA!2e0!7i13312!8i6656
51.3245595178;-0.4014931633;open;;Running Mare;45 Tilt Road;Cobham;Surrey;KT11 3EZ;;https://whatpub.com/img/KIN/7085/running-mare-cobham/298/224/42841;https://whatpub.com/pubs/KIN/7085/running-mare-cobham;https://www.google.co.uk/maps/@51.3246824,-0.4013756,3a,75y,210.36h,93.21t/data=!3m6!1e1!3m4!1slf23SeLmrSiTR0SOHZhxYQ!2e0!7i13312!8i6656
51.3271013047;-0.4092635228;food;;Old Bear;Riverhill;Cobham;;KT11 3DX;;https://whatpub.com/img/KIN/7033/old-bear-cobham/298/224/42840;https://whatpub.com/pubs/KIN/7033/old-bear-cobham;https://www.google.co.uk/maps/@51.3269248,-0.409318,3a,60.1y,15.67h,90.69t/data=!3m7!1e1!3m5!1shdLOOW-vNyUQ78r3pAM9tg!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DhdLOOW-vNyUQ78r3pAM9tg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D87.66954%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
